dafbin meanz meanstat nmuts
1 2.4099849748211213 0.3195076320052104 14.71951219512195
2 2.6668468079246423 0.48104267921261146 7.065817409766455
3 2.193957071641503 0.3877637266638488 5.783216783216783
4 1.139795695700478 0.05733505296879721 5.573529411764706
5 0.585577395727279 -0.025268606574872256 5.870967741935484
6 -0.5719728739798089 -0.3671024371801785 5.161290322580645
7 -1.7821885787102667 -0.6960803991473745 6.095238095238095
8 -2.8584157720663126 -0.9638825661260573 7.032
9 -3.761355746315058 -1.2166725625183534 8.598958333333334
10 -3.588015965094447 -1.183016637512137 16.691959229898075
