dafbin meanz meanstat nmuts
1 0.21253243028393434 -1.2639779083583063 82.01
2 0.1976262009223519 -0.9253015355900692 49.16
3 0.17941838439893423 -0.6261482101318083 26.49
4 0.2990555174158722 -0.342625081116151 18.04
5 0.24069905873613773 -0.18342710348032018 14.09
6 -0.036779527420690745 -0.13062146450171272 13.414141414141413
7 -0.19077670233749333 -0.0035415042016343928 10.646464646464647
8 -0.16983768657922566 0.21502719529144373 11.112244897959183
9 -0.1673289217263424 0.46570566532691093 9.79
10 -0.13945498750939497 0.7517601182367265 8.382978723404255
