dafbin meanz meanstat nmuts
1 1.0370112228255628 -0.6698580264197393 35.45
2 0.8040037205415738 -0.5799393130796279 33.76
3 0.5492134462339627 -0.44003134390481713 22.99
4 0.21828728513019244 -0.3810484535790874 17.479591836734695
5 -0.3269182826385903 -0.44373195855621156 14.826530612244898
6 -0.8136848858779016 -0.47390550573330376 14.789473684210526
7 -1.1313946913070014 -0.4128727102321969 13.418367346938776
8 -1.272487320478385 -0.2684716563298389 12.72
9 -1.3903258086824044 -0.10678403376510179 12.948979591836734
10 -1.535464114780319 -0.03145526574887473 11.816326530612244
