f0 tau mean_z
0.001 0 -2.04268593950543
0.001 0.0001 -1.9494342188160856
0.001 0.001 -2.3188525961662605
0.001 0.01 -0.3112360851520876
0.001 0.02 0.3818154856857795
0.001 0.03 0.6505544547171291
0.001 0.04 0.804812994061685
0.001 0.05 0.7696474922540749
0.001 0.075 0.7716703858873974
0.001 0.1 0.6262403820313217
0.001 0.15 0.3993510617534525
0.001 0.20 0.26449722520530605
0.01 0 -1.1121319721884317
0.01 0.0001 -1.137135548657932
0.01 0.001 -0.797732030191113
0.01 0.01 -0.11011110867789166
0.01 0.02 0.33567927714563645
0.01 0.03 0.47655313524618315
0.01 0.04 0.5492521504448996
0.01 0.05 0.5653187671482677
0.01 0.075 0.5935817856831609
0.01 0.1 0.4609192973305371
0.01 0.15 0.33490593441234773
0.01 0.20 0.2460796254399993
0.05 0 -0.29255271811431827
0.05 0.0001 -0.28727665037344635
0.05 0.001 -0.22641779555325597
0.05 0.01 0.06071283384283985
0.05 0.02 0.1932147709938898
0.05 0.03 0.25141449171888197
0.05 0.04 0.29441432061641537
0.05 0.05 0.280327991332032
0.05 0.075 0.26980168240820385
0.05 0.1 0.26915227512277523
0.05 0.15 0.1820929002561663
0.05 0.20 0.1306168415883466
0.10 0 -0.06836699141816131
0.10 0.0001 -0.11588920101370141
0.10 0.001 -0.0761783778982106
0.10 0.01 0.05794304042480476
0.10 0.02 0.12936700284167718
0.10 0.03 0.1650416229219519
0.10 0.04 0.19784463656799386
0.10 0.05 0.21159795558938221
0.10 0.075 0.18069413437552803
0.10 0.1 0.1557845673267545
0.10 0.15 0.14591643186159386
0.10 0.20 0.06457400116546469
